eta,momentum,5-1,10-1,1-5-1,10-5-1,1-5-5-1,5-10-1-1,5-5-5-5-1,1-5-10-5-1
0.000976563,0,11010.87356,8061.71328,9652.49326,9182.84583,9835.95861,13250.80647,9813.66777,9734.00797
0.000976563,0.25,6524.61219,3068.03296,5987.75260,5903.03822,7955.58445,11545.22301,8285.59311,8270.85907
0.000976563,0.5,3225.11524,911.18430,4361.79866,4397.36876,4413.26577,10012.95895,7938.41908,7935.67319
0.000976563,0.75,926.38482,84.88069,3732.14174,3769.38098,1643.31141,8675.13574,7887.40098,7882.07332
0.001953125,0,510.45015,30.67653,3671.21673,3697.16504,1215.02015,8387.52115,7888.08688,7813.98851
0.001953125,0.25,264.45434,7.01731,3640.65783,3655.68021,883.50828,8167.81784,7885.37338,2971.16113
0.001953125,0.5,82.46549,0.78720,3627.50864,3634.08873,630.24158,8010.66368,4762.52838,1371.36958
0.001953125,0.75,8.39348,0.01581,3624.49466,3625.96985,420.99889,7912.38734,766.13718,613.57240
0.00390625,0,2.65282,0.00415,3626.82703,3626.98314,422.64078,7899.39828,812.65094,1060.42330
0.00390625,0.25,0.55044,0.00128,3625.18002,3625.59357,381.25914,7891.88948,590.16275,897.06060
0.00390625,0.5,0.06482,0.00048,3623.88766,3622.58251,335.41454,7888.79736,611.41901,650.28875
0.00390625,0.75,0.00112,0.00016,3619.98053,3622.98047,350.85162,7885.79547,664.08214,606.50628
0.0078125,0,0.00295,0.00012,3626.38321,3625.86639,437.33806,7888.64792,1072.20962,584.06700
0.0078125,0.25,209.76040,0.00008,3623.22687,3624.04005,426.73463,7886.73957,1135.32788,550.38036
0.0078125,0.5,62.08771,0.00005,3622.32945,3620.18583,458.93118,7884.83931,1090.75680,610.68856
0.0078125,0.75,20.00926,0.00003,3618.88393,3617.41136,487.56084,7883.25209,1146.46901,645.51449
