eta,momentum,Sigmoid, TanH, ReLU
0.0078125,0,98.38310,12393.67335,15040.36243
0.0078125,0.25,0.29076,12367.97053,15057.68077
0.0078125,0.5,0.00097,12319.58418,15052.67478
0.0078125,0.75,0.00010,12299.18528,15044.12548
0.03125,0,0.00279,12254.11500,nan
0.03125,0.25,1306.44226,12269.42929,nan
0.03125,0.5,1297.77058,12199.49214,nan
0.03125,0.75,1296.37441,12079.43628,nan
0.125,0,1273.52322,11192.91836,nan
0.125,0.25,1291.08800,11054.44726,nan
0.125,0.5,1278.04134,nan,nan
0.125,0.75,1251.74827,nan,nan
0.25,0,1237.07994,nan,nan
0.25,0.25,1254.59259,nan,nan
0.25,0.5,1248.88229,nan,nan
0.25,0.75,1200.60315,nan,nan
0.5,0,1091.38656,nan,nan
0.5,0.25,1053.56708,nan,nan
0.5,0.5,1136.95295,nan,nan
0.5,0.75,809.69528,nan,nan
1,0,858978.87797,nan,nan
1,0.25,nan,nan,nan
1,0.5,nan,nan,nan
1,0.75,nan,nan,nan
2,0,nan,nan,nan
2,0.25,nan,nan,nan
2,0.5,nan,nan,nan
2,0.75,nan,nan,nan
