eta,momentum, CrossEntropy, MSE,
0.0078125,0.0,0.0006830759323763188,0.0007514083585305087
0.0078125,0.25,4.918886967057035e-05,4.4830104836376914e-05
0.0078125,0.5,9.060988653783465e-06,9.456413239771756e-06
0.0078125,0.75,1.49655963247308e-06,1.8709958388024954e-06
0.03125,0.0,482.27332386079576,1049.1477391194535
0.03125,0.25,340.01462646872136,1404.1726824704901
0.03125,0.5,879.298161871441,967.9729554691706
0.03125,0.75,945.435479156428,1009.2299154135744
0.125,0.0,1018.4786059380822,1058.7880751668208
0.125,0.25,1061.7835903086682,937.3616695672528
0.125,0.5,1074.691446521944,1098.2514031692895
0.125,0.75,944.7711896941879,1053.8533692628569
0.25,0.0,1114.0976183126543,1137.4446056835893
0.25,0.25,1148.6714713073727,1103.2964742109766
0.25,0.5,1109.9767052608072,1072.5548614151528
0.25,0.75,960.9795235249721,1107.75659685352
0.5,0.0,1053.3571113835287,1056.0031563033315
0.5,0.25,865.0279141633388,971.7108744555719
0.5,0.5,946.3293754795721,920.2521353535703
0.5,0.75,915.1610213601399,879.5988993207078
1,0.0,7077.151856762488,8234537.711118011
1,0.25,878.8614705944103,833.47524127475
1,0.5,832.8881640287686,835.9264558069383
1,0.75,850.3463804860359,855.8001504416136
2,0.0,nan,nan
2,0.25,nan,nan
2,0.5,nan,nan
2,0.75,nan,nan
